Var,Label,Value,Units
qc_min,Max Coolant Flowrate,0,L/min
qc_max,Min Coolant Flowrate,300,L/min
Tsp,Temperature Set point,390,K
beta,Proportional Setpoint Weight,0,
gamma,Derivative Setpoint Weight,0,
kp,Proportional Gain,0,
ki,Integral Gain,0,
kd,Derivative Gain,0,
